geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (0.1456377 51.5415534),5,District,Dagenham Heathway,,9400ZZLUDGY,London Underground,London Underground,station,station,ZDH,,subway,yes,yes,Q1157207,en:Dagenham Heathway tube station,,,,,,,,,Survey of 2014-09-01,,,,,,2,,,,,,,,,,,Heathway,,,,,,,,,,,,Q746021,Dagenham,RM9 5AN,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Dagenham Heathway Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3026271 51.6188526),5,Jubilee,Stanmore,,9400ZZLUSTM,London Underground,London Underground,station,station,ZSM,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q1757110,en:Stanmore tube station,,,,,,,,,,,,,,,,,,,,,,,,,,London Road,,,,,,,,,,,,,Middlesex,HA7 4PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The station has Wheelchair Access to the ticket office & platforms, although stairs connect the two. To get between them, the accessible route involves a footpath through the car park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2947453 51.6080065),5,Jubilee,Canons Park,,9400ZZLUCPK,London Underground,London Underground,station,station,ZCP,,subway,yes,no,Q1033599,en:Canons Park tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1974303 51.549579),6,District,Elm Park,,9400ZZLUEPK,London Underground,London Underground,station,station,ZEP,,subway,yes,yes,Q1332680,en:Elm Park tube station,,,,,,,,,Survey of 2014-08-31,,,,,,2,,,,,,,,,,,The Broadway,,,,,,,,,,,,,Hornchurch,RM12 4RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elm Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0051322 51.5568183),3,Central,Leyton,,9400ZZLULYN,London Underground,London Underground,station,station,ZLY,,subway,yes,no,Q1734740,en:Leyton tube station,,,,,,,,,Survey of 2014-09-13,,,,,,,,,,,,,,,,,High Road Leyton,,,,,,,,,,,,,London,E10 5PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leyton Station,,,,,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2112429 51.4586138),2;3,District,East Putney,Ист-Путни,9400ZZLUEPY,London Underground,London Underground,station,station,ZPU,,subway,yes,no,Q1277984,en:East Putney tube station,,Q20075,,,Q682520,,,,,,,,,,2,,,,,,,,,,,Station Approach,,,,,,,,,,,,Q111297173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Putney Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1143345 51.5109659),1,District;Circle,Temple,Темпл,9400ZZLUTMP,London Underground,London Underground,station,station,ZTM,,subway,yes,no,Q1431071,en:Temple tube station,,,,,,,,,,1870-05-30,,,,,2,,,,,Category:Temple tube station,,,,,,,,,,,,,,,,,,Q111297173,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0199941 51.582893),3,Victoria,Walthamstow Central,Уолтемстоу Сентрал,9100WLTWCEN,London Underground;London Overground,London Overground,station,station,WHC,,subway,,limited,Q801582,en:Walthamstow Central station,https://www.nationalrail.co.uk/stations/whc/,Q26334,London Overground access from platform to train by manual boarding ramp. Step-free platform interchange requires a 200m journey via street. Use the Station Approach entrance for southbound platform. Use the Selborne Road entrance for northbound platform.,4,,,,,local knowledge,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0655796 51.4125891),,,Anerley,,9100ANERLEY,National Rail;London Overground,London Overground,station,station,ANZ,,,,limited,Q2012789,en:Anerley railway station,,Q746021,Step-free from streets to platforms on both sides. Steps and footbridge between platforms.,Anerley Bridge,Q682520,,,,,,,,,yes,,,,,,,,,sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3000963 51.5408036),4,Piccadilly,Alperton,,9400ZZLUALP,London Underground,London Underground,station,station,ZAP,,subway,yes,no,Q1488320,en:Alperton tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,Ealing Road,,,,,,,,,,,,,,HA0 4LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alperton Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1242695 51.5130942),1,Piccadilly,Covent Garden,Ковент-Гарден,9400ZZLUCGN,London Underground,London Underground,station,station,ZCV,,subway,yes,no,Q38879,en:Covent Garden tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Covent Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1742097 51.5353523),2,Jubilee,St. John's Wood,,9400ZZLUSJW,London Underground,London Underground,station,station,ZSJ,,subway,yes,no,Q1549556,en:St John's Wood tube station,,,,,,,,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tfl.gov.uk/tube/stop/940GZZLUSJW/st-johns-wood-underground-station,,,,,,,St. John's Wood Station,,,,,,,,,,,,,,,,Virgin Media WiFi,,,,,,,,,,,,,,,,,,,,,customers;Virgin Media;EE;Vodafone;O2,Virgin Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0526042 51.5394005),3;4,District;Hammersmith & City,East Ham,,9400ZZLUEHM,London Underground,London Underground,station,station,ZEH,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q1269975,en:East Ham tube station,,Q20075,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0123189 51.5246287),2;3,District;Hammersmith & City,Bromley-by-Bow,,9400ZZLUBBB,London Underground,London Underground,station,station,ZBW,,subway,yes,yes,Q926679,en:Bromley-by-Bow tube station,,,Access from platform to train by manual boarding ramp,,,,,,,,,,,,,,2,,,,,,,,,Blackwall Tunnel Northern Approach,,,,,,,,,,,,,London,E3 3JJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bromley-by-Bow Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0186272 51.5035036),2,Jubilee,Canary Wharf,,9400ZZLUCYF,London Underground,London Underground,station,station,ZCZ,,subway,yes,yes,Q1032842,en:Canary Wharf tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金丝雀码头,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2244449 51.5306063),2,Bakerloo,Kensal Green,,9100KENSLG,National Rail;London Underground;London Overground,London Underground,station,station,KNL,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,no,Q800999,en:Kensal Green station,https://www.nationalrail.co.uk/stations/knl/,Q26334,,,,,,,,,,,,,,,,,,,,,Sign,72272,KENSLG,College Road,,,,,,,,,,,,,London,NW10 5JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,HA10 5JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.257833 51.5363567),3,Bakerloo,Harlesden,,9100HARLSDN,London Underground;London Overground,London Underground,station,station,HDN,,subway,yes,no,Q800892,en:Harlesden station,https://www.nationalrail.co.uk/stations/hdn/,Q26334,,,,,,,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,,,,,,,,,,,,,,72033,HARLSDN,Acton Lane,,,,,,,,,,,,,London,NW10 7AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harlesden Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1899646 51.5468194),2,Jubilee,West Hampstead,,9400ZZLUWHP,London Underground,London Underground,station,station,,,subway,yes,no,Q1857089,en:West Hampstead tube station,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0643453 51.4977004),2,Jubilee,Bermondsey,,9400ZZLUBMY,London Underground,London Underground,station,station,ZBE,,subway,yes,yes,Q822041,en:Bermondsey tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The CRS is ZBE as listed in Network Rail sources, but ZEO in ticket retailing system",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1429113 51.5066192),1,Piccadilly;Victoria;Jubilee,Green Park,Грин-парк,9400ZZLUGPK,London Underground,London Underground,station,station,ZGE,,subway,yes,yes,Q1366462,en:Green Park tube station,,Q20075,,Dover Street,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4775114 51.546655),6,Metropolitan;Piccadilly,Uxbridge,,9400ZZLUUXB,London Underground,London Underground,station,station,ZUX,,subway,yes,yes,Q1757126,en:Uxbridge tube station,,Q20075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.4504637 51.5536028),6,Metropolitan;Piccadilly,Hillingdon,,9400ZZLUHGD,London Underground,London Underground,station,station,ZHD,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes,Q570560,en:Hillingdon tube station,,Q20075,,,,,,Hillingdon (Swakeleys),,,,,,,,,,,,,,,,,,Long Lane,,,,,,,,,,,,,Uxbridge,UB10 9NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hillingdon Station,,,,,,,,,,,,,,,,,,,,,,,Hillingdon,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2265662 51.5017564),2,Circle;Hammersmith & City,Goldhawk Road,,9400ZZLUGHK,London Underground,London Underground,station,station,ZGW,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q301995,en:Goldhawk Road tube station,,,,,,,,,OS,,,,,,,,,,,,,,,,,Goldhawk Road,,,,,,,,,,,,,London,W12 8EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goldhawk Road Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2183251 51.5043576),2,Central,Shepherd's Bush,,9400ZZLUSBC,London Underground,London Underground,station,station,,,subway,yes,no,Q1211566,en:Shepherd's Bush tube station,,,,,,,,Shepherd's Bush (Central line),Survey of 2014-06-13,,,,,,,,,,,,,,,,,Uxbridge Road,,,,,,,,,,,,,London,W12 8ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2177873 51.5134749),2,Hammersmith & City;Circle,Latimer Road,,9400ZZLULRD,London Underground,London Underground,station,station,ZLR,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q736375,en:Latimer Road tube station,,,,,,,,,,,,,,,,,,,,,,,,,,Bramley Road,,,,,,,,,,,,,London,W10 6SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1943721 51.5350704),2,Bakerloo,Kilburn Park,,9400ZZLUKPK,London Underground,London Underground,station,station,ZKP,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,no,Q949382,en:Kilburn Park tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1874439 51.5190222),2,Circle;Hammersmith & City,Royal Oak,,9400ZZLURYO,London Underground,London Underground,station,station,ZRY,,subway,yes,no,Q1757115,en:Royal Oak tube station,,,,,,,,,,,,,,,,,,,,,,,,,,Lord Hills Bridge,,,,,,,,,,,,,London,W2 6ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1883854 51.5122764),1,Circle;District,Bayswater,Бейсуотер,9400ZZLUBWT,London Underground,London Underground,station,station,ZBY,,subway,yes,no,Q812631,en:Bayswater tube station,,,,,,,,,,1868-10-01,,,,,2,,,,,Category:Bayswater tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1921096 51.5002995),1,Circle;District,High Street Kensington,Хай Стрит Кенсингтон,9400ZZLUHSK,London Underground,London Underground,station,station,ZHS,,subway,yes,no,Q634345,en:High Street Kensington tube station,,,Step access only to all platforms from booking office and gateline.,,,,,,Bing,1868-10-01,,,,,2,,,,,Category:High Street Kensington tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1837696 51.4945266),1,Circle;District;Piccadilly,Gloucester Road,Глостер Роуд,9400ZZLUGTR,London Underground,London Underground,station,station,ZGR,,subway,yes,no,Q1431088,en:Gloucester Road tube station,,,Step-free from train to Circle line platforms 2 & 3 to view Mural on north retaining wall. Stairs only between platforms and to booking office and gateline.,,,,,,GPX;OS;survey for wheelmap 3/1/2020,,,,,,,,,,,,,,,,,,,,,Gloucester Road Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1582531 51.513435),1,Central,Marble Arch,Марбл-Арч,9400ZZLUMBA,London Underground,London Underground,station,station,ZMA,,subway,yes,no,Q786259,en:Marble Arch tube station,,,,,,,,,OS,,,,,,,,,,,,,,,,,,,,,Marble Arch Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мраморная арка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1437048 51.5238146),1,Circle;Metropolitan;Hammersmith & City,Great Portland Street,,9400ZZLUGPS,London Underground,London Underground,station,station,ZGP,,subway,yes,no,Q946924,en:Great Portland Street tube station,,,,Portland Road,,,,,OS,,,,,,2,,,,,,,,,,,,,,,Great Portland Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1385303 51.5247178),1,Northern;Victoria,Warren Street,,9400ZZLUWRR,London Underground,London Underground,station,station,ZWS,,subway,yes,no,Q1366438,en:Warren Street tube station,,Q20075,,Euston Road,Q682520,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1343573 51.5205978),1,Northern,Goodge Street,Гудж-стрит,9400ZZLUGDG,London Underground,London Underground,station,station,ZGS,,subway,yes,no,Q746880,en:Goodge Street tube station,,Q20075,No level access,,Q682520,,,,,1907-06-22,,,,,,,,,,,,,,,,Tottenham Court Road,,,,,,,,,,,,Q746021,London,W1T 2HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1036544 51.5463679),2,Mildmay;Victoria;Windrush;Great Northern,Highbury & Islington,,9100HIGHBYA;9100HIGHBYE;9100HGHI;9400ZZLUHAI,National Rail;London Underground;London Overground,London Underground,station,station,HHY,,subway,yes,limited,Q800922,en:Highbury & Islington station,https://www.nationalrail.co.uk/stations/hhy/,Q26334,"Level street access. Lifts from concourse to Overground platforms (1,2,7,8) + portable ramps. Escalators, then stairs to Victoria and GN platforms (3,4,5,6) No interchange underground.",,,,,Highbury and Islington ELL,survey,,,,,,8,,,,,,,,,,,Holloway Road,,,,,,,,,,wlan,partial,,London,N5 1RA,,,,,,,,,,,,,,,,,,,,,,,ZHI,,,,,,,,,,,,,,,Highbury & Islington Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,,,,,,,,Χίβυρή & Ίσλινγκτον,HII,https://tfl.gov.uk/overground/stop/910GHGHI/highbury-islington-rail-station,https://tfl.gov.uk/tube/stop/940GZZLUHAI/highbury-islington-underground-station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.1057696 51.5531063),,,Drayton Park,,9100DRYP,National Rail,Govia Thameslink Railway (Great Northern),station,station,DYP,,,,no,Q682110,en:Drayton Park railway station,https://www.nationalrail.co.uk/stations/dyp/,Q26334,,,,,,,Local knowledge,,,,,yes,,,,,,,,,,,,Drayton Park,,,,,,,,,,,,,London,N5 1NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drayton Park Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.222223 51.5493524),2;3,Jubilee,Willesden Green,,9400ZZLUWIG,London Underground,London Underground,station,station,ZWG,,subway,yes,no,Q1857104,en:Willesden Green tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2053385 51.5469889),2,Jubilee,Kilburn,,9400ZZLUKBN,London Underground,London Underground,station,station,ZKI,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,yes,Q1741248,en:Kilburn tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.280413 51.5183524),3,Central,West Acton,,9400ZZLUWTA,London Underground,London Underground,station,station,ZWE,,subway,yes,no,Q1363805,en:West Acton tube station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.3004127 51.4632072),4,District,Richmond,,940GZZLURMD,National Rail;London Underground;London Overground,South Western Railway,station,station,RMD,https://en.wikipedia.org/wiki/Richmond_station_(London),subway,yes,yes,Q801366,en:Richmond station (London),https://www.nationalrail.co.uk/stations/rmd/,Q26334,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.2755244 51.4913757),3,District,Gunnersbury,,9100GNRSBRY,London Underground;London Overground,London Underground,station,station,GUN,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,limited,Q800858,en:Gunnersbury station,https://www.nationalrail.co.uk/stations/gun/,Q26334,You can change between the District line and London Overground services. Access from platform to train by manual boarding ramp.,,,,,,NPE,,,,,yes,,,,,,,,,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
