geometry,fare_zone,line,name,name:ru,naptan:AtcoCode,network,operator,public_transport,railway,ref:crs,source_ref,station,subway,wheelchair,wikidata,wikipedia,network:website,network:wikidata,wheelchair:description,old_name,operator:wikidata,operator:website,toilets:wheelchair,alt_name,source,start_date,air_conditioning,baby_feeding,level,train,platforms,light_rail,public_transport:version,tram,source:name,wikimedia_commons,network:subway,network:train,source:network,ref:stanox,ref:tiploc,addr:street,electrified,name:fr,loc_name,name:da,name:zh,name:zh-Hans,name:zh-Hant,postal_code,check_date,internet_access,internet_access:fee,not:network:wikidata,addr:city,addr:postcode,name:he,note,name:ar,name:cs,name:de,name:en,name:fa,name:fi,name:gan,name:hu,name:it,name:ja,name:lmo,name:nl,name:no,name:pl,name:uk,name:ur,name:yi,name:yue,layer,owner,ref:crs:underground,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,survey:date,usage,tourism,website,operator:subway,operator:train,opening_hours,description,source_ref:network,toilets,addr:housename,name:bn,network:wikidata:Elizabeth line,network:wikidata:National_Rail,ref:crs:crossrail,check_date:wheelchair,ref,source:ref,network:wikidata:Elizabeth_Line,railway:ref,railway:ref:DB,name:et,iata,ref:crs:eurostar,uic_ref,website:departures,internet_access:ssid,name:wuu,airside,fixme,alt_name:ru,note:wheelchair,indoor,addr:suburb,toilets:access,railway:aws,railway:tpws,frequency,gauge,tfl_travelzone,url,voltage,departures_board,covered,location,addr:country,building:levels,internet_access:access,internet_access:operator,noaddress,not:addr:postcode,colour,source:building,name:el,ref:crs:overground,website:overground,website:tube,levels,opening_date,ref:STANOX,ref:nalco,source:alt_name,name:pa,name:pnb,ref:GB:uprn,wheelchair:note,phone,image,shelter,bicycle,entrance,entrance_marker:subway,comment,ref:GB:tfl_uid,access,bicycle:conditional,addr:housenumber,brand,brand:wikidata,brand:wikipedia,fhrs:id,shop,source:addr,destination,description:en,smoking,source:wheelchair,naptan:StopType,source:railway,barrier,foot,amenity,name:bg,exit,exit_to,door,highway,building,nohousenumber,roof:shape
POINT (0.0186204 51.4842403),,,Westcombe Park,,9100WCOMBEP,National Rail,Southeastern,station,station,WCB,,,,yes,Q2522084,,https://www.nationalrail.co.uk/stations/wcb/,Q26334,Access from platform to train by manual boarding ramp.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/westcombe-park,,,,,,,,yes,,,,,,,,,,,,Station Crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:00; Sa 09:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0548824 51.4910924),,,Woolwich Dockyard,,9100WOLWCDY,National Rail,Southeastern,station,station,WWD,,,,limited,Q2201803,,https://www.nationalrail.co.uk/stations/wwd/,Q26334,Step free access to platform for services away from London. There is no step free access to Platform 1. No step free interchange between platforms.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/woolwich-dockyard,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0703782 51.4896184),,,Woolwich Arsenal,,9100WOLWCHA,National Rail,Southeastern,station,station,WWA,,,,yes,Q801639,,https://www.nationalrail.co.uk/stations/wwa/,Q26334,Access from platform to train by manual boarding ramp.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/woolwich-arsenal,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0840176 51.4897681),,,Plumstead,,9100PLMS,National Rail,Southeastern,station,station,PLU,,,,no,Q4403657,,https://www.nationalrail.co.uk/stations/plu/,Q26334,,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/plumstead,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1204062 51.4910781),4,,Abbey Wood,,9100ABWD,National Rail;Elizabeth line,Elizabeth line,station,station,ABW,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,yes,Q2087079,en:Abbey Wood railway station,https://www.nationalrail.co.uk/stations/abw/,,,,Q682520,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q26334,ABX,,,,Q111297173,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.1903098 51.4676731),,,Slade Green,,9100SLADEGN,National Rail,Southeastern,station,station,SGR,,,,yes,Q2155070,en:Slade Green railway station,https://www.nationalrail.co.uk/stations/sgr/,Q26334,Access from platform to train by manual boarding ramp.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/slade-green,,,,,,,,,,,,,,,,,,,,,rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,0,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0220245 51.4307645),4,,Grove Park,,9100GRVPK,National Rail,Southeastern,station,station,GRP,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,no,Q2252599,en:Grove Park railway station,https://www.nationalrail.co.uk/stations/grp/,Q26334,,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/grove-park,,,,,,,,,,,,,,,,,,,,Baring Road,,,,,,,,,,,,,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grove Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-0.0006473 51.4515872),3,,Hither Green,,9100HTHRGRN,National Rail,Southeastern,station,station,HGR,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,no,Q2182758,en:Hither Green railway station,https://www.nationalrail.co.uk/stations/hgr/,Q26334,,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/hither-green,,,NPE,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0446574 51.4167981),,,Elmstead Woods,,9100ELMW,National Rail,Southeastern,station,station,ESD,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,limited,Q2261123,en:Elmstead Woods railway station,https://www.nationalrail.co.uk/stations/esd/,Q26334,"Step free access to platform 4 for services away from London from Station Approach. There is no step free access to Platform 1, 2 or 3. No step free interchange between platforms.",,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/elmstead-woods,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (0.0578673 51.4051626),,,Chislehurst,,9100CHSLHRS,National Rail,Southeastern,station,station,CIT,http://en.wikipedia.org/wiki/List_of_London_railway_stations,,,limited,Q2273007,en:Chislehurst railway station,https://www.nationalrail.co.uk/stations/cit/,Q26334,Step free access to platform 4 for services away from London. There is no step free access to Platform 1 2 or 3.,,Q1696490,https://www.southeasternrailway.co.uk/travel-information/more-travel-help/station-information/stations/chislehurst,,,NPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 06:00-20:30; Su 08:15-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,https://www.nationalrail.co.uk/stations/cit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
